,Episode,Mean,Stddev
0,   0.00000,  25.50000,  16.84785
1,   1.00000,  20.10000,   9.73088
2,   2.00000,  22.60000,   8.36899
3,   3.00000,  23.80000,  10.74058
4,   4.00000,  17.70000,   8.70689
5,   5.00000,  11.00000,   2.09762
6,   6.00000,  12.10000,   3.64555
7,   7.00000,  12.50000,   3.04138
8,   8.00000,  23.20000,  17.05755
9,   9.00000,  11.30000,   1.95192
10,  10.00000,  10.50000,   1.02470
11,  11.00000,  11.10000,   1.13578
12,  12.00000,   9.80000,   1.07703
13,  13.00000,  10.40000,   2.49800
14,  14.00000,  10.20000,   1.46969
15,  15.00000,  10.00000,   0.89443
16,  16.00000,  10.40000,   1.01980
17,  17.00000,  10.50000,   1.43178
18,  18.00000,   9.70000,   1.00499
19,  19.00000,  10.20000,   1.16619
20,  20.00000,  10.30000,   0.90000
21,  21.00000,  10.40000,   1.01980
22,  22.00000,  11.10000,   1.04403
23,  23.00000,  10.00000,   0.77460
24,  24.00000,   9.50000,   0.67082
25,  25.00000,   9.90000,   1.13578
26,  26.00000,   9.90000,   0.83066
27,  27.00000,   9.40000,   0.66332
28,  28.00000,   9.60000,   0.66332
29,  29.00000,   9.30000,   0.45826
30,  30.00000,   9.50000,   1.20416
31,  31.00000,   9.20000,   0.74833
32,  32.00000,   9.20000,   0.74833
33,  33.00000,   9.20000,   0.60000
34,  34.00000,   9.30000,   0.64031
35,  35.00000,   9.40000,   0.80000
36,  36.00000,   9.30000,   0.64031
37,  37.00000,   9.40000,   1.01980
38,  38.00000,   9.60000,   0.66332
39,  39.00000,   9.30000,   0.64031
40,  40.00000,   9.00000,   0.63246
41,  41.00000,   9.70000,   0.64031
42,  42.00000,   9.40000,   0.80000
43,  43.00000,   9.40000,   0.80000
44,  44.00000,   9.50000,   0.67082
45,  45.00000,   9.20000,   0.60000
46,  46.00000,   9.50000,   0.67082
47,  47.00000,   9.20000,   0.97980
48,  48.00000,   9.30000,   0.78102
49,  49.00000,   9.40000,   0.66332
50,  50.00000,   9.50000,   0.50000
51,  51.00000,   9.10000,   0.70000
52,  52.00000,   9.20000,   0.87178
53,  53.00000,   9.40000,   0.48990
54,  54.00000,   9.40000,   0.80000
55,  55.00000,   9.10000,   0.30000
56,  56.00000,   9.00000,   0.63246
57,  57.00000,   9.40000,   0.80000
58,  58.00000,   9.80000,   0.74833
59,  59.00000,   9.30000,   0.45826
60,  60.00000,   9.60000,   0.91652
61,  61.00000,   9.60000,   0.48990
62,  62.00000,   8.80000,   0.40000
63,  63.00000,   9.30000,   0.45826
64,  64.00000,   9.20000,   0.60000
65,  65.00000,   9.40000,   0.48990
66,  66.00000,   9.00000,   0.89443
67,  67.00000,   9.20000,   0.74833
68,  68.00000,   9.60000,   0.48990
69,  69.00000,   9.40000,   0.48990
70,  70.00000,   9.30000,   0.45826
71,  71.00000,   9.30000,   0.78102
72,  72.00000,   9.30000,   0.45826
73,  73.00000,   9.60000,   0.66332
74,  74.00000,   9.70000,   0.90000
75,  75.00000,   9.00000,   0.63246
76,  76.00000,   9.90000,   0.70000
77,  77.00000,   9.50000,   0.50000
78,  78.00000,   9.90000,   0.94340
79,  79.00000,   9.90000,   0.70000
80,  80.00000,   9.90000,   0.70000
81,  81.00000,  18.30000,   6.63400
