,Episode,Reward,std
0,   0.00000,  37.70000,  12.40202
1,   1.00000,  33.70000,  12.91549
2,   2.00000,  23.10000,   6.04070
3,   3.00000,  20.70000,   6.14898
4,   4.00000,  25.50000,  10.28834
5,   5.00000,  25.10000,   6.99214
6,   6.00000,  21.20000,   8.38809
7,   7.00000,  21.20000,   5.21153
8,   8.00000,  22.50000,   4.69574
9,   9.00000,  17.70000,   4.51774
10,  10.00000,  20.00000,   5.29150
11,  11.00000,  19.90000,   5.53986
12,  12.00000,  21.00000,   5.44059
13,  13.00000,  17.30000,   5.40463
14,  14.00000,  21.60000,   4.17612
15,  15.00000,  20.60000,   5.55338
16,  16.00000,  21.30000,   3.66197
17,  17.00000,  18.20000,   5.68859
18,  18.00000,  18.60000,   4.96387
19,  19.00000,  19.80000,   5.15364
20,  20.00000,  19.50000,   5.40833
21,  21.00000,  22.00000,   4.95984
22,  22.00000,  17.60000,   5.90254
23,  23.00000,  20.50000,   6.24900
24,  24.00000,  17.00000,   6.87023
25,  25.00000,  20.80000,   4.68615
26,  26.00000,  22.40000,   4.92341
27,  27.00000,  18.60000,   6.15142
28,  28.00000,  19.60000,   6.94550
29,  29.00000,  21.70000,   4.12432
30,  30.00000,  21.90000,   4.48219
31,  31.00000,  21.50000,   5.29623
32,  32.00000,  21.10000,   4.39204
33,  33.00000,  19.30000,   6.06712
34,  34.00000,  19.80000,   6.12862
35,  35.00000,  19.90000,   5.04876
36,  36.00000,  22.90000,   5.90678
37,  37.00000,  18.50000,   5.74891
38,  38.00000,  16.30000,   4.42832
39,  39.00000,  18.90000,   3.80657
40,  40.00000,  19.80000,   6.04649
41,  41.00000,  20.90000,   5.20481
42,  42.00000,  19.50000,   5.86941
43,  43.00000,  18.10000,   6.20403
44,  44.00000,  18.60000,   4.02989
45,  45.00000,  21.90000,   5.31883
46,  46.00000,  18.00000,   5.47723
47,  47.00000,  16.50000,   4.36463
48,  48.00000,  19.90000,   4.74236
49,  49.00000,  22.10000,   5.46717
50,  50.00000,  21.80000,   5.56417
51,  51.00000,  19.50000,   6.81542
52,  52.00000,  21.00000,   5.21536
53,  53.00000,  18.10000,   5.61160
54,  54.00000,  22.40000,   4.77912
55,  55.00000,  19.10000,   7.04911
56,  56.00000,  20.30000,   6.06712
57,  57.00000,  18.00000,   6.55744
58,  58.00000,  20.60000,   5.46260
59,  59.00000,  18.90000,   6.15549
60,  60.00000,  20.40000,   5.23832
61,  61.00000,  19.70000,   4.87955
62,  62.00000,  19.40000,   5.44426
63,  63.00000,  19.60000,   7.01712
64,  64.00000,  19.00000,   5.69210
65,  65.00000,  22.00000,   2.00000
66,  66.00000,  16.70000,   5.71052
67,  67.00000,  20.80000,   5.38145
68,  68.00000,  25.10000,   6.34744
69,  69.00000,  18.00000,   6.26099
70,  70.00000,  21.00000,   5.29150
71,  71.00000,  21.30000,   6.10000
72,  72.00000,  18.20000,   9.67264
73,  73.00000,  20.30000,   5.17784
74,  74.00000,  20.20000,   7.08237
75,  75.00000,  21.40000,   8.02745
76,  76.00000,  18.90000,   8.38391
77,  77.00000,  19.90000,   5.66480
78,  78.00000,  21.60000,   7.73563
79,  79.00000,  24.20000,   9.41063
80,  80.00000,  20.00000,   8.80909
81,  81.00000,  23.40000,   6.95989
82,  82.00000,  23.90000,   8.26378
83,  83.00000,  26.00000,   9.03327
84,  84.00000,  19.10000,   8.30000
85,  85.00000,  20.60000,   8.89044
86,  86.00000,  27.20000,   7.37292
87,  87.00000,  27.60000,   3.03974
88,  88.00000,  21.90000,   7.20347
89,  89.00000,  24.70000,   9.02275
90,  90.00000,  24.90000,   6.89130
91,  91.00000,  27.50000,  13.15485
92,  92.00000,  29.90000,   8.54927
93,  93.00000,  22.40000,   9.22171
94,  94.00000,  23.80000,   9.98799
95,  95.00000,  30.10000,  12.11982
96,  96.00000,  25.50000,  11.76648
97,  97.00000,  23.50000,  14.75297
98,  98.00000,  31.70000,  13.06178
99,  99.00000,  24.80000,  11.30310
100, 100.00000,  24.40000,  12.91666
101, 101.00000,  35.00000,  13.63085
102, 102.00000,  29.10000,  12.33248
103, 103.00000,  28.70000,  10.94578
104, 104.00000,  19.20000,   9.45304
105, 105.00000,  22.00000,  12.72792
106, 106.00000,  28.80000,  11.73712
107, 107.00000,  24.30000,  12.75186
108, 108.00000,  33.60000,  13.69087
109, 109.00000,  26.30000,  15.81803
110, 110.00000,  29.90000,   9.59635
111, 111.00000,  35.10000,  12.02872
112, 112.00000,  35.10000,   8.61916
113, 113.00000,  31.10000,  12.77067
114, 114.00000,  30.20000,  15.15784
115, 115.00000,  30.80000,  10.30340
116, 116.00000,  29.00000,  13.87804
117, 117.00000,  21.70000,  12.49040
118, 118.00000,  33.70000,   9.07800
119, 119.00000,  30.00000,  12.72792
120, 120.00000,  27.00000,  12.58571
121, 121.00000,  26.90000,  12.84874
122, 122.00000,  24.30000,  12.39395
123, 123.00000,  25.90000,  15.31960
124, 124.00000,  31.00000,  10.70514
125, 125.00000,  34.70000,  11.41972
126, 126.00000,  27.40000,  12.98615
127, 127.00000,  32.10000,  10.79305
128, 128.00000,  32.40000,  15.12746
129, 129.00000,  31.10000,  13.70730
130, 130.00000,  25.30000,  11.69658
131, 131.00000,  32.30000,  14.08581
132, 132.00000,  30.00000,  12.85302
133, 133.00000,  23.90000,  11.86128
134, 134.00000,  29.80000,  15.61922
135, 135.00000,  36.90000,  11.33534
136, 136.00000,  26.50000,  12.86274
137, 137.00000,  28.50000,  11.85960
138, 138.00000,  22.60000,  11.68931
139, 139.00000,  30.10000,  13.50889
140, 140.00000,  34.80000,  12.11445
141, 141.00000,  30.60000,  14.54785
142, 142.00000,  23.40000,  16.69251
143, 143.00000,  50.10000,  30.50066
144, 144.00000,  35.40000,  13.61029
145, 145.00000,  33.70000,  15.10000
146, 146.00000,  35.90000,  12.82537
147, 147.00000,  39.30000,   3.22645
148, 148.00000,  30.20000,  11.16065
149, 149.00000,  56.70000,  36.63891
150, 150.00000,  27.70000,  14.32515
151, 151.00000,  30.90000,  11.89496
152, 152.00000,  65.30000,  23.67298
153, 153.00000,  53.30000,  34.79670
154, 154.00000,  79.50000,  23.99271
155, 155.00000,  34.50000,  14.54132
156, 156.00000,  63.60000,  59.17973
157, 157.00000,  93.80000,  65.95423
158, 158.00000,  32.20000,   9.23905
159, 159.00000,  86.50000,  50.89646
160, 160.00000,  91.90000,  48.07172
161, 161.00000,  47.90000,  33.70297
162, 162.00000,  43.00000,  26.30209
163, 163.00000,  89.00000,  48.05830
164, 164.00000,  78.60000,  22.95300
165, 165.00000,  99.80000,  60.36522
166, 166.00000,  87.90000,  48.30207
167, 167.00000,  76.20000,  39.75877
168, 168.00000,  98.90000,  16.86683
169, 169.00000, 162.50000,  56.52300
170, 170.00000, 234.40000,  63.55187
171, 171.00000, 235.60000,  35.30779
172, 172.00000, 202.10000,  26.68501
173, 173.00000, 220.00000,  15.51773
174, 174.00000, 226.90000,  21.57058
175, 175.00000, 297.60000,  76.26821
176, 176.00000, 309.40000,  57.33795
177, 177.00000, 301.00000,  75.18111
178, 178.00000, 371.20000,  97.79857
179, 179.00000, 244.60000,  27.34301
180, 180.00000, 297.00000,  49.55401
181, 181.00000, 466.50000,  23.38055
182, 182.00000, 480.80000,  30.74996
183, 183.00000, 358.40000,   9.04655
184, 184.00000, 358.20000,  22.24320
185, 185.00000, 356.90000,  15.94020
186, 186.00000, 399.10000,  74.03303
187, 187.00000, 431.40000,  35.70490
188, 188.00000, 439.70000,  26.06933
189, 189.00000, 442.40000,  60.87397
190, 190.00000, 408.30000,  71.90974
191, 191.00000, 474.70000,  40.23444
192, 192.00000, 370.80000,  45.97130
193, 193.00000, 500.00000,   0.00000
194, 194.00000, 272.10000,  14.94289
195, 195.00000, 500.00000,   0.00000
196, 196.00000, 482.90000,  51.30000
197, 197.00000, 500.00000,   0.00000
198, 198.00000, 328.70000,  39.12557
199, 199.00000, 233.50000,   9.33006
200, 200.00000, 479.80000,  42.71253
201, 201.00000, 492.00000,  17.02351
202, 202.00000, 488.40000,  34.80000
203, 203.00000, 469.80000,  49.86742
204, 204.00000, 242.20000,  29.98933
205, 205.00000, 230.70000,  25.16366
206, 206.00000, 434.00000,  58.74862
207, 207.00000, 324.20000,  84.71812
208, 208.00000, 245.40000,  35.80000
209, 209.00000, 225.70000,  35.74367
210, 210.00000, 475.50000,  37.74454
211, 211.00000, 412.60000,  90.74051
212, 212.00000, 204.40000,   5.58928
213, 213.00000, 359.10000,  36.51424
214, 214.00000, 331.60000,  51.08268
215, 215.00000, 291.10000,  25.88610
216, 216.00000, 417.70000,  64.24337
217, 217.00000, 438.20000,  67.71086
218, 218.00000, 395.80000,  84.04856
219, 219.00000, 335.40000,  51.99462
220, 220.00000, 282.00000,  42.88590
221, 221.00000, 389.00000,  64.73175
222, 222.00000, 303.50000,  78.54712
223, 223.00000, 247.40000,  29.22054
224, 224.00000, 292.80000,  40.51370
225, 225.00000, 224.20000,  14.13365
226, 226.00000, 342.50000,  45.42301
227, 227.00000, 243.10000,  17.60369
228, 228.00000, 290.30000,  80.89258
229, 229.00000, 382.60000, 119.52673
230, 230.00000, 208.80000,  18.20879
231, 231.00000, 457.40000,  85.87340
232, 232.00000, 332.70000, 101.72419
233, 233.00000, 254.00000,  39.57272
234, 234.00000, 311.10000,  41.92481
235, 235.00000, 425.10000,  97.23009
236, 236.00000, 471.10000,  51.00284
237, 237.00000, 270.90000,  59.45662
238, 238.00000, 295.50000,  80.03156
239, 239.00000, 235.40000,  18.55371
240, 240.00000, 252.60000,  30.32886
241, 241.00000, 260.00000,  73.16420
242, 242.00000, 240.50000,  18.58090
243, 243.00000, 425.20000,  94.58943
244, 244.00000, 320.30000,  34.94868
245, 245.00000, 415.10000,  83.25197
246, 246.00000, 231.90000,  15.82688
247, 247.00000, 302.00000, 164.42506
248, 248.00000, 296.90000,  37.03093
249, 249.00000, 500.00000,   0.00000
