,Episode,Reward,std
0,   0.00000,  70.90000,  28.01589
1,   1.00000,  31.60000,   9.17824
2,   2.00000,  31.40000,  13.56613
3,   3.00000,  21.70000,   5.06063
4,   4.00000,  19.70000,   7.23948
5,   5.00000,  21.90000,   5.26213
6,   6.00000,  22.90000,   5.70000
7,   7.00000,  23.90000,   4.27668
8,   8.00000,  22.50000,   5.50000
9,   9.00000,  17.20000,   6.07947
10,  10.00000,  18.20000,   6.63023
11,  11.00000,  17.90000,   6.44127
12,  12.00000,  21.10000,   6.60984
13,  13.00000,  20.20000,   6.58483
14,  14.00000,  17.80000,   5.40000
15,  15.00000,  20.80000,   5.52811
16,  16.00000,  18.50000,   6.42262
17,  17.00000,  20.70000,   5.83181
18,  18.00000,  22.40000,   6.06960
19,  19.00000,  19.00000,   6.37181
20,  20.00000,  17.00000,   5.54977
21,  21.00000,  22.10000,   5.24309
22,  22.00000,  20.00000,   6.61816
23,  23.00000,  25.00000,   8.14862
24,  24.00000,  19.60000,   7.98999
25,  25.00000,  21.90000,   4.25323
26,  26.00000,  20.80000,   5.47357
27,  27.00000,  18.10000,   5.97411
28,  28.00000,  22.60000,   4.47661
29,  29.00000,  20.60000,   5.16140
30,  30.00000,  19.70000,   5.55068
31,  31.00000,  22.10000,   5.52178
32,  32.00000,  20.40000,   6.13514
33,  33.00000,  18.60000,   7.40540
34,  34.00000,  18.80000,   6.19355
35,  35.00000,  21.10000,   5.83866
36,  36.00000,  22.20000,   5.45527
37,  37.00000,  21.10000,   6.50308
38,  38.00000,  17.10000,   5.39351
39,  39.00000,  21.00000,   6.35610
40,  40.00000,  19.90000,   6.57951
41,  41.00000,  17.40000,   5.74804
42,  42.00000,  22.20000,   5.72364
43,  43.00000,  22.10000,   4.84665
44,  44.00000,  20.20000,   5.34416
45,  45.00000,  19.60000,   4.05463
46,  46.00000,  23.40000,   1.80000
47,  47.00000,  20.60000,   6.16766
48,  48.00000,  16.80000,   6.32139
49,  49.00000,  21.10000,   6.22013
50,  50.00000,  20.50000,   6.53070
51,  51.00000,  19.70000,   7.04344
52,  52.00000,  22.60000,   8.70862
53,  53.00000,  18.40000,   5.51725
54,  54.00000,  23.50000,  10.03245
55,  55.00000,  16.50000,   5.55428
56,  56.00000,  19.30000,   6.40391
57,  57.00000,  26.30000,   2.05183
58,  58.00000,  18.60000,   7.85111
59,  59.00000,  19.10000,   6.74463
60,  60.00000,  19.50000,   5.81808
61,  61.00000,  21.50000,   7.31095
62,  62.00000,  29.10000,   7.39527
63,  63.00000,  18.00000,   6.26099
64,  64.00000,  23.00000,  10.26645
65,  65.00000,  24.20000,   9.24986
66,  66.00000,  21.40000,   5.10294
67,  67.00000,  18.60000,   5.90254
68,  68.00000,  18.30000,   6.84178
69,  69.00000,  27.20000,   6.38436
70,  70.00000,  24.10000,  11.05848
71,  71.00000,  20.00000,   6.24500
72,  72.00000,  24.90000,   6.51844
73,  73.00000,  21.30000,  10.58348
74,  74.00000,  19.30000,   5.36749
75,  75.00000,  21.40000,   5.81722
76,  76.00000,  21.30000,  10.22790
77,  77.00000,  19.00000,   4.83735
78,  78.00000,  27.00000,   8.27043
79,  79.00000,  21.10000,   5.85577
80,  80.00000,  21.60000,   3.03974
81,  81.00000,  19.40000,   5.33292
82,  82.00000,  25.70000,   7.01498
83,  83.00000,  20.60000,   6.35925
84,  84.00000,  23.40000,   5.14198
85,  85.00000,  19.70000,   9.62341
86,  86.00000,  25.90000,  10.44462
87,  87.00000,  19.10000,   5.88982
88,  88.00000,  18.00000,   6.92820
89,  89.00000,  23.50000,   9.65660
90,  90.00000,  25.40000,   7.56571
91,  91.00000,  22.30000,   5.38609
92,  92.00000,  21.40000,   6.88767
93,  93.00000,  21.80000,  10.57166
94,  94.00000,  23.20000,   8.15843
95,  95.00000,  23.40000,  10.38460
96,  96.00000,  21.20000,   4.09390
97,  97.00000,  20.40000,  10.19019
98,  98.00000,  23.20000,   8.23165
99,  99.00000,  26.00000,  11.31371
100, 100.00000,  19.80000,   9.01998
101, 101.00000,  23.70000,   9.94032
102, 102.00000,  29.90000,  12.16922
103, 103.00000,  34.00000,  17.22788
104, 104.00000,  50.80000,  26.91022
105, 105.00000,  32.00000,  12.44990
106, 106.00000,  52.00000,  35.76591
107, 107.00000,  42.30000,  21.00024
108, 108.00000,  44.70000,  26.81063
109, 109.00000,  44.10000,  17.67739
110, 110.00000,  51.90000,  45.14300
111, 111.00000,  25.70000,  11.30531
112, 112.00000,  74.40000,  44.53583
113, 113.00000,  96.20000,  35.58033
114, 114.00000,  90.60000,  36.84074
115, 115.00000, 121.10000,  22.74401
116, 116.00000, 150.90000,  44.84072
117, 117.00000, 179.00000,  66.98955
118, 118.00000, 110.40000,  32.30851
119, 119.00000, 148.10000,  51.30000
120, 120.00000, 139.40000,  55.98607
121, 121.00000, 163.20000,  44.53493
122, 122.00000, 215.30000,  26.43123
123, 123.00000, 227.50000,  37.25923
124, 124.00000, 193.90000,  15.15553
125, 125.00000, 211.50000,  19.86077
126, 126.00000, 235.50000,  47.17468
