,Episode,Reward
0,   0.00000,  55.00000
1,   1.00000,  60.00000
2,   2.00000,  40.00000
3,   3.00000,  13.00000
4,   4.00000,  27.00000
5,   5.00000,  16.00000
6,   6.00000,  27.00000
7,   7.00000,  25.00000
8,   8.00000,  12.00000
9,   9.00000,  12.00000
10,  10.00000,  19.00000
11,  11.00000,  11.00000
12,  12.00000,  22.00000
13,  13.00000,  19.00000
14,  14.00000,  19.00000
15,  15.00000,  21.00000
16,  16.00000,  25.00000
17,  17.00000,  24.00000
18,  18.00000,  25.00000
19,  19.00000,  14.00000
20,  20.00000,  27.00000
21,  21.00000,  25.00000
22,  22.00000,  12.00000
23,  23.00000,  28.00000
24,  24.00000,  22.00000
25,  25.00000,  21.00000
26,  26.00000,  12.00000
27,  27.00000,  27.00000
28,  28.00000,  24.00000
29,  29.00000,  22.00000
30,  30.00000,  13.00000
31,  31.00000,  38.00000
32,  32.00000,  28.00000
33,  33.00000,  20.00000
34,  34.00000,  27.00000
35,  35.00000,  24.00000
36,  36.00000,  28.00000
37,  37.00000,  22.00000
38,  38.00000,  16.00000
39,  39.00000,  22.00000
40,  40.00000,  11.00000
41,  41.00000,  25.00000
42,  42.00000,  19.00000
43,  43.00000,  25.00000
44,  44.00000,  22.00000
45,  45.00000,  25.00000
46,  46.00000,  28.00000
47,  47.00000,  24.00000
48,  48.00000,  21.00000
49,  49.00000,  12.00000
50,  50.00000,  25.00000
51,  51.00000,  22.00000
52,  52.00000,  21.00000
53,  53.00000,  11.00000
54,  54.00000,  19.00000
55,  55.00000,  24.00000
56,  56.00000,  21.00000
57,  57.00000,  11.00000
58,  58.00000,  27.00000
59,  59.00000,  28.00000
60,  60.00000,  11.00000
61,  61.00000,  12.00000
62,  62.00000,  22.00000
63,  63.00000,  24.00000
64,  64.00000,  12.00000
65,  65.00000,  20.00000
66,  66.00000,  13.00000
67,  67.00000,  25.00000
68,  68.00000,  25.00000
69,  69.00000,  24.00000
70,  70.00000,  12.00000
71,  71.00000,  11.00000
72,  72.00000,  22.00000
73,  73.00000,  24.00000
74,  74.00000,  18.00000
75,  75.00000,  27.00000
76,  76.00000,  19.00000
77,  77.00000,  22.00000
78,  78.00000,  21.00000
79,  79.00000,  27.00000
80,  80.00000,  17.00000
81,  81.00000,  21.00000
82,  82.00000,  11.00000
83,  83.00000,  27.00000
84,  84.00000,  24.00000
85,  85.00000,  28.00000
86,  86.00000,  27.00000
87,  87.00000,  19.00000
88,  88.00000,  18.00000
89,  89.00000,  38.00000
90,  90.00000,  22.00000
91,  91.00000,  19.00000
92,  92.00000,  19.00000
93,  93.00000,  25.00000
94,  94.00000,  16.00000
95,  95.00000,  16.00000
96,  96.00000,  17.00000
97,  97.00000,  17.00000
98,  98.00000,  46.00000
99,  99.00000,  28.00000
