,Episode,Reward
210, 210.00000, 135.00000
211, 211.00000, 163.00000
212, 212.00000, 144.00000
213, 213.00000, 161.00000
214, 214.00000, 194.00000
215, 215.00000, 154.00000
216, 216.00000, 125.00000
217, 217.00000, 149.00000
218, 218.00000, 173.00000
219, 219.00000, 160.00000
220, 220.00000, 151.00000
221, 221.00000, 156.00000
222, 222.00000, 197.00000
223, 223.00000, 160.00000
224, 224.00000, 177.00000
225, 225.00000, 166.00000
226, 226.00000, 195.00000
227, 227.00000, 153.00000
228, 228.00000, 174.00000
229, 229.00000, 250.00000
230, 230.00000, 325.00000
231, 231.00000, 167.00000
232, 232.00000, 193.00000
233, 233.00000, 154.00000
234, 234.00000, 162.00000
235, 235.00000, 195.00000
236, 236.00000, 181.00000
237, 237.00000, 212.00000
238, 238.00000, 143.00000
239, 239.00000, 161.00000
240, 240.00000, 157.00000
241, 241.00000, 184.00000
242, 242.00000, 260.00000
243, 243.00000, 178.00000
244, 244.00000, 159.00000
245, 245.00000, 225.00000
246, 246.00000, 187.00000
247, 247.00000, 184.00000
248, 248.00000, 169.00000
249, 249.00000, 140.00000
