,Episode,Mean,Stddev
0,   0.00000,  17.80000,   7.33212
1,   1.00000,  20.30000,   8.27103
2,   2.00000,  20.00000,   9.69536
3,   3.00000,  16.50000,   6.31269
4,   4.00000,  24.60000,  12.64278
5,   5.00000,  17.20000,   5.32541
6,   6.00000,  14.70000,   4.12432
7,   7.00000,  13.70000,   3.71618
8,   8.00000,  12.60000,   4.24735
9,   9.00000,  11.10000,   2.34307
10,  10.00000,  11.40000,   2.24499
11,  11.00000,  12.30000,   2.83019
12,  12.00000,  12.40000,   2.93939
13,  13.00000,  10.70000,   1.41774
14,  14.00000,  10.80000,   1.83303
15,  15.00000,  11.10000,   1.44568
16,  16.00000,   9.20000,   0.87178
17,  17.00000,   9.90000,   1.81384
18,  18.00000,  10.00000,   1.26491
19,  19.00000,  10.10000,   1.37477
20,  20.00000,   9.80000,   1.66132
21,  21.00000,   9.80000,   1.32665
22,  22.00000,   9.60000,   1.28062
23,  23.00000,  10.00000,   1.00000
24,  24.00000,  10.10000,   1.13578
25,  25.00000,  10.10000,   0.94340
26,  26.00000,  11.60000,   3.23110
27,  27.00000,  10.00000,   1.26491
28,  28.00000,  10.90000,   1.81384
29,  29.00000,  10.10000,   1.30000
30,  30.00000,  10.00000,   1.34164
31,  31.00000,  11.00000,   3.76829
32,  32.00000,   9.50000,   0.50000
33,  33.00000,  14.90000,   6.51844
34,  34.00000,  10.00000,   1.09545
35,  35.00000,   9.90000,   0.83066
36,  36.00000,   9.90000,   1.04403
37,  37.00000,   9.20000,   0.97980
38,  38.00000,   9.40000,   0.48990
39,  39.00000,   9.70000,   0.64031
40,  40.00000,  10.00000,   0.77460
41,  41.00000,   9.80000,   0.60000
42,  42.00000,   9.80000,   0.60000
43,  43.00000,  10.70000,   1.18743
44,  44.00000,  10.80000,   0.60000
45,  45.00000,  11.60000,   0.48990
46,  46.00000,  11.10000,   0.94340
47,  47.00000,  14.90000,   5.83866
48,  48.00000,  11.00000,   0.89443
49,  49.00000,  18.50000,   5.59017
50,  50.00000,  17.40000,   5.57136
51,  51.00000,  15.00000,   5.36656
52,  52.00000,  12.80000,   0.97980
53,  53.00000,  29.40000,  10.87382
54,  54.00000,  39.30000,  11.63658
55,  55.00000,  19.00000,  14.79865
