,Episode,Mean,Stddev
159, 159.00000, 187.70000,  18.96339
160, 160.00000, 181.20000,  15.16443
161, 161.00000, 196.10000,  14.36280
162, 162.00000, 185.20000,  33.51060
163, 163.00000, 189.20000,  21.98090
164, 164.00000, 192.70000,  23.66876
165, 165.00000, 188.60000,  25.75345
166, 166.00000, 185.70000,  30.77678
167, 167.00000, 177.60000,  25.09263
168, 168.00000, 175.10000,  20.58859
169, 169.00000, 167.50000,  10.80046
170, 170.00000, 174.90000,  11.21116
171, 171.00000, 162.80000,  17.61136
172, 172.00000, 177.10000,  26.46299
173, 173.00000, 176.30000,  23.24672
174, 174.00000, 170.30000,  24.10000
175, 175.00000, 160.00000,  12.49800
176, 176.00000, 177.80000,  19.47203
177, 177.00000, 153.60000,  11.95993
178, 178.00000, 166.60000,  23.21293
179, 179.00000, 161.50000,  18.02360
180, 180.00000, 166.20000,  26.47187
181, 181.00000, 174.70000,  72.61274
182, 182.00000, 151.80000,   9.87725
183, 183.00000, 147.50000,   9.33006
184, 184.00000, 164.40000,  29.68569
185, 185.00000, 154.00000,  25.98461
186, 186.00000, 150.20000,  14.14779
187, 187.00000, 154.40000,  18.38586
188, 188.00000, 148.30000,  14.09291
189, 189.00000, 169.00000,  31.48968
190, 190.00000, 155.60000,  23.69050
191, 191.00000, 161.50000,  38.52337
192, 192.00000, 151.70000,  17.29191
193, 193.00000, 183.40000,  46.89819
194, 194.00000, 163.80000,  30.04264
195, 195.00000, 164.50000,  28.37340
196, 196.00000, 164.70000,  39.34730
197, 197.00000, 162.50000,  30.61454
198, 198.00000, 154.20000,  16.09223
199, 199.00000, 157.40000,  23.07466
200, 200.00000, 159.00000,  23.62202
201, 201.00000, 177.70000,  80.49851
202, 202.00000, 167.20000,  43.66646
203, 203.00000, 171.20000,  24.71761
204, 204.00000, 145.70000,  14.87313
205, 205.00000, 145.40000,  10.59434
206, 206.00000, 154.30000,  18.71924
207, 207.00000, 151.00000,  20.33716
208, 208.00000, 185.80000,  33.84908
209, 209.00000, 152.90000,  36.12049
210, 210.00000, 167.70000,  33.17846
211, 211.00000, 153.00000,  13.30413
212, 212.00000, 161.00000,  22.74203
213, 213.00000, 184.40000,  41.49024
