,Episode,Mean,Stddev
159, 159.00000, 239.30000,  13.86398
160, 160.00000, 231.30000,   8.21036
161, 161.00000, 231.80000,  12.27844
162, 162.00000, 260.90000,  14.22287
163, 163.00000, 246.10000,  13.97462
164, 164.00000, 241.50000,  10.47139
165, 165.00000, 212.00000,  10.71448
166, 166.00000, 224.10000,  10.84850
167, 167.00000, 207.20000,  16.03621
168, 168.00000, 217.40000,   8.00250
169, 169.00000, 207.40000,  10.25865
170, 170.00000, 234.20000,  14.32341
171, 171.00000, 221.70000,  11.40219
172, 172.00000, 226.60000,  12.04326
173, 173.00000, 233.20000,  14.46928
174, 174.00000, 246.20000,  12.08967
175, 175.00000, 230.70000,   9.94032
176, 176.00000, 212.90000,  11.63142
177, 177.00000, 218.70000,  14.79899
178, 178.00000, 214.40000,  13.88668
179, 179.00000, 230.00000,  11.52389
180, 180.00000, 231.80000,   7.62627
181, 181.00000, 239.80000,   7.57364
182, 182.00000, 228.90000,  11.36178
183, 183.00000, 242.90000,   9.83311
184, 184.00000, 244.50000,  11.68118
185, 185.00000, 221.80000,   9.32523
186, 186.00000, 250.10000,   8.71149
187, 187.00000, 242.40000,  13.95851
188, 188.00000, 231.00000,  15.72895
189, 189.00000, 247.00000,   6.64831
190, 190.00000, 261.60000,  12.27355
191, 191.00000, 255.70000,  17.72597
192, 192.00000, 248.70000,  12.83004
193, 193.00000, 238.50000,  15.55796
194, 194.00000, 253.60000,  19.35045
195, 195.00000, 247.60000,   9.11263
196, 196.00000, 221.10000,   9.91413
197, 197.00000, 343.60000,  63.85014
198, 198.00000, 278.60000,  73.99486
199, 199.00000, 251.80000,  10.02796
200, 200.00000, 258.60000,  17.10088
201, 201.00000, 331.70000,  72.53420
202, 202.00000, 254.30000,   9.53992
203, 203.00000, 224.40000,   8.22435
204, 204.00000, 255.80000,   8.55336
205, 205.00000, 251.00000,  14.83240
206, 206.00000, 250.30000,  13.37199
207, 207.00000, 316.00000,  31.38790
208, 208.00000, 324.90000,  37.56182
209, 209.00000, 218.50000,  15.31176
210, 210.00000, 261.40000,  35.81955
211, 211.00000, 284.20000,   8.96437
212, 212.00000, 270.20000,  21.31572
213, 213.00000, 306.60000,  37.52652
214, 214.00000, 221.20000,  19.55914
215, 215.00000, 306.10000,  47.11359
216, 216.00000, 435.50000,  75.23463
217, 217.00000, 236.90000,  42.15555
218, 218.00000, 300.50000,  38.73306
219, 219.00000, 229.60000,  23.75374
220, 220.00000, 453.60000,  50.46424
221, 221.00000, 309.20000,  46.74997
222, 222.00000, 459.20000,  78.15984
223, 223.00000, 198.70000,  12.32112
224, 224.00000, 195.70000,   8.55628
225, 225.00000, 277.20000,  15.64481
226, 226.00000, 182.20000,  11.81355
227, 227.00000, 206.80000,  19.28108
228, 228.00000, 382.70000, 118.02801
229, 229.00000, 198.80000,  13.09809
230, 230.00000, 259.20000,  41.81100
231, 231.00000, 397.50000, 102.01691
232, 232.00000, 281.00000,  97.38583
233, 233.00000, 248.50000,  17.17120
234, 234.00000, 163.10000,  23.14930
235, 235.00000, 218.90000,  12.91085
236, 236.00000, 209.40000,  10.00200
237, 237.00000, 184.70000,  13.39440
238, 238.00000, 217.20000,  12.95994
239, 239.00000, 283.50000,  26.54524
240, 240.00000, 253.10000,  14.76787
241, 241.00000, 311.90000,  84.34269
242, 242.00000, 237.40000,  18.02887
243, 243.00000, 500.00000,   0.00000
244, 244.00000, 273.90000,  19.78611
245, 245.00000, 242.30000,  71.95839
246, 246.00000, 208.80000,  14.33039
247, 247.00000, 500.00000,   0.00000
248, 248.00000, 325.50000,  83.05570
249, 249.00000, 338.20000,  33.93170
250, 250.00000, 284.70000,  20.95257
251, 251.00000, 455.50000,  40.09551
252, 252.00000, 252.00000,  18.95257
253, 253.00000, 478.20000,  46.47752
254, 254.00000, 477.50000,  45.83721
255, 255.00000, 330.30000, 112.15262
256, 256.00000, 493.70000,  13.78441
257, 257.00000, 259.90000,  14.65913
258, 258.00000, 371.20000,  72.97232
259, 259.00000, 222.00000,   9.25203
260, 260.00000, 479.90000,  60.30000
