,Episode,Reward,std
0,   0.00000,  22.10000,   6.23618
1,   1.00000,  25.90000,  24.98580
2,   2.00000,  20.80000,  10.29369
3,   3.00000,  19.60000,   8.00250
4,   4.00000,  19.60000,  12.35476
5,   5.00000,  16.10000,   7.31369
6,   6.00000,  13.00000,   6.13188
7,   7.00000,  12.00000,   2.75681
8,   8.00000,  14.30000,   4.31393
9,   9.00000,  11.70000,   1.48661
10,  10.00000,  13.50000,   4.65296
11,  11.00000,  12.20000,   3.15595
12,  12.00000,  12.00000,   3.79473
13,  13.00000,  10.60000,   1.42829
14,  14.00000,   9.70000,   1.26886
15,  15.00000,  11.00000,   2.72029
16,  16.00000,  11.30000,   3.97618
17,  17.00000,  12.10000,   3.47707
18,  18.00000,  10.00000,   1.09545
19,  19.00000,  10.40000,   1.35647
20,  20.00000,   9.40000,   1.35647
21,  21.00000,  10.00000,   0.63246
22,  22.00000,   9.80000,   0.74833
23,  23.00000,  11.80000,   5.21153
24,  24.00000,   9.80000,   1.16619
25,  25.00000,   9.80000,   0.97980
26,  26.00000,  10.70000,   3.22645
27,  27.00000,  11.20000,   4.66476
28,  28.00000,   9.70000,   1.18743
29,  29.00000,   9.30000,   1.00499
30,  30.00000,   9.40000,   0.66332
31,  31.00000,   9.60000,   0.66332
32,  32.00000,   9.40000,   0.48990
33,  33.00000,   9.60000,   0.91652
34,  34.00000,   9.70000,   0.64031
35,  35.00000,   9.50000,   0.80623
36,  36.00000,   9.70000,   1.10000
37,  37.00000,   9.60000,   0.66332
38,  38.00000,   9.60000,   1.01980
39,  39.00000,   9.60000,   0.91652
40,  40.00000,   9.50000,   0.92195
41,  41.00000,   9.00000,   0.44721
42,  42.00000,   9.10000,   0.83066
43,  43.00000,   9.40000,   0.80000
44,  44.00000,   9.30000,   1.10000
45,  45.00000,   9.60000,   0.48990
46,  46.00000,   9.40000,   0.66332
47,  47.00000,   9.20000,   0.74833
48,  48.00000,   9.60000,   0.91652
49,  49.00000,   9.40000,   0.48990
50,  50.00000,   9.60000,   0.80000
51,  51.00000,   9.60000,   0.48990
52,  52.00000,   9.30000,   0.78102
53,  53.00000,   9.60000,   0.48990
54,  54.00000,   9.70000,   0.64031
55,  55.00000,   9.10000,   0.70000
56,  56.00000,   9.80000,   0.60000
57,  57.00000,   9.10000,   0.94340
58,  58.00000,   9.60000,   0.48990
59,  59.00000,   9.10000,   0.70000
60,  60.00000,   9.30000,   0.78102
61,  61.00000,   9.50000,   0.80623
62,  62.00000,   9.40000,   0.48990
63,  63.00000,   9.50000,   0.67082
64,  64.00000,   9.40000,   0.48990
65,  65.00000,   9.40000,   0.48990
66,  66.00000,   9.60000,   0.80000
67,  67.00000,   9.50000,   0.67082
68,  68.00000,   9.20000,   0.87178
69,  69.00000,  11.20000,   4.97594
70,  70.00000,   9.40000,   0.48990
71,  71.00000,   9.30000,   1.10000
72,  72.00000,  10.70000,   3.79605
73,  73.00000,  10.80000,   4.44522
74,  74.00000,   9.40000,   0.66332
75,  75.00000,   9.50000,   0.80623
76,  76.00000,   9.60000,   0.66332
77,  77.00000,   9.10000,   0.70000
78,  78.00000,   9.40000,   0.91652
79,  79.00000,   9.40000,   0.66332
80,  80.00000,   9.30000,   0.78102
81,  81.00000,   9.70000,   0.64031
82,  82.00000,   9.30000,   0.64031
